customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,churn
CUST_00000,52,90.51,,Two-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00001,15,44.87,669.85,One-Year,Credit Card,Fiber Optic,No,1
CUST_00002,61,53.03,3229.69,Month-to-Month,Electronic Check,No,Yes,1
CUST_00003,21,63.45,1349.49,One-Year,Electronic Check,Fiber Optic,Yes,1
CUST_00004,24,45.37,1082.56,One-Year,Credit Card,Fiber Optic,Yes,0
CUST_00005,3,60.52,203.38,Month-to-Month,Bank Transfer,DSL,No internet service,0
CUST_00006,22,77.15,1702.81,Month-to-Month,Electronic Check,DSL,No,0
CUST_00007,53,94.1,4985.39,Month-to-Month,Bank Transfer,DSL,Yes,0
CUST_00008,2,96.72,,One-Year,Bank Transfer,DSL,No,1
CUST_00009,30,102.28,3086.48,Month-to-Month,Credit Card,Fiber Optic,Yes,1
CUST_00010,38,94.42,3591.46,Two-Year,Mailed Check,Fiber Optic,No,0
CUST_00011,2,88.1,182.69,One-Year,Credit Card,Fiber Optic,No,1
CUST_00012,64,43.75,2808.16,Month-to-Month,Mailed Check,Fiber Optic,Yes,0
CUST_00013,60,60.02,3603.33,One-Year,Mailed Check,No,No internet service,0
CUST_00014,21,67.77,1431.0,Month-to-Month,Credit Card,Fiber Optic,No,1
CUST_00015,33,28.29,931.77,One-Year,Credit Card,Fiber Optic,No internet service,0
CUST_00016,58,72.84,4223.8,One-Year,Mailed Check,Fiber Optic,No internet service,0
CUST_00017,22,63.63,1383.15,Month-to-Month,Credit Card,Fiber Optic,Yes,0
CUST_00018,49,100.21,4914.8,Month-to-Month,Mailed Check,DSL,Yes,1
CUST_00019,59,117.79,6923.82,Month-to-Month,Bank Transfer,DSL,Yes,0
CUST_00020,42,75.6,3179.47,Month-to-Month,Credit Card,No,No,0
CUST_00021,60,52.27,3131.91,Month-to-Month,Bank Transfer,Fiber Optic,Yes,0
CUST_00022,15,24.34,370.72,Month-to-Month,Electronic Check,DSL,Yes,1
CUST_00023,62,112.46,6957.06,Two-Year,Bank Transfer,Fiber Optic,No,0
CUST_00024,62,111.91,6906.73,Month-to-Month,Bank Transfer,Fiber Optic,No,0
